Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
22/06/2018 - 18:10,343,0.520,36.390,33.750,44.430,904.020,1104.110
22/06/2018 - 18:11,300,0.540,35.770,33.760,44.400,904.000,1104.090
22/06/2018 - 18:11,322,0.630,36.090,33.760,44.400,903.940,1104.010
22/06/2018 - 18:12,334,0.630,33.910,33.730,44.400,903.960,1104.030
22/06/2018 - 18:12,305,0.160,34.820,33.760,44.500,903.990,1104.070
22/06/2018 - 18:13,318,0.590,30.740,33.780,44.570,904.020,1104.110
22/06/2018 - 18:13,340,0.570,35.720,33.790,44.600,903.970,1104.050
22/06/2018 - 18:14,337,0.570,34.320,33.780,44.640,903.980,1104.060
22/06/2018 - 18:14,331,0.180,37.620,33.780,44.800,903.950,1104.020
22/06/2018 - 18:15,334,0.580,35.480,33.770,44.980,903.990,1104.080
22/06/2018 - 18:15,341,0.600,38.070,33.690,45.080,903.950,1104.020
22/06/2018 - 18:16,356,0.570,34.880,33.800,44.940,903.980,1104.060
22/06/2018 - 18:16,362,0.520,36.730,33.760,44.770,904.040,1104.140
22/06/2018 - 18:17,362,0.540,34.350,33.750,44.670,904.010,1104.100
22/06/2018 - 18:17,309,0.550,35.030,33.720,44.640,903.960,1104.030
22/06/2018 - 18:18,329,0.590,38.090,33.730,44.640,903.960,1104.040
22/06/2018 - 18:18,334,0.560,41.470,33.700,44.700,903.990,1104.070
22/06/2018 - 18:19,324,0.650,35.360,33.710,44.840,904.010,1104.090
22/06/2018 - 18:19,333,0.550,34.170,33.670,44.820,904.000,1104.080
22/06/2018 - 18:20,344,0.550,42.100,33.670,44.540,904.020,1104.110
22/06/2018 - 18:20,343,0.550,39.300,33.720,44.600,904.040,1104.130
22/06/2018 - 18:21,362,0.210,33.760,33.700,44.640,904.040,1104.130
22/06/2018 - 18:21,352,0.560,41.380,33.730,44.740,904.040,1104.130
22/06/2018 - 18:22,345,0.540,41.640,33.760,44.840,904.050,1104.150
22/06/2018 - 18:22,355,0.530,36.760,33.710,45.050,904.030,1104.120
22/06/2018 - 18:23,346,0.140,34.930,33.670,45.150,904.110,1104.220
22/06/2018 - 18:23,345,0.380,34.950,33.660,45.060,904.070,1104.170
22/06/2018 - 18:24,361,0.560,38.590,33.730,45.010,904.170,1104.290
22/06/2018 - 18:24,356,0.540,35.620,33.670,44.840,904.090,1104.190
22/06/2018 - 18:25,311,0.140,35.910,33.630,44.850,904.110,1104.220
22/06/2018 - 18:25,274,0.520,38.110,33.640,44.540,904.120,1104.230
22/06/2018 - 18:26,313,0.520,41.650,33.650,44.310,904.070,1104.170
22/06/2018 - 18:26,326,0.540,35.320,33.690,44.290,904.150,1104.270
22/06/2018 - 18:27,335,0.160,37.410,33.730,44.290,904.140,1104.260
22/06/2018 - 18:27,343,0.520,37.350,33.730,44.260,904.180,1104.310
22/06/2018 - 18:28,356,0.510,37.070,33.750,44.430,904.250,1104.390
22/06/2018 - 18:28,365,0.540,38.250,33.740,44.570,904.290,1104.440
22/06/2018 - 18:29,362,0.560,37.350,33.660,44.680,904.300,1104.450
22/06/2018 - 18:29,350,0.580,38.520,33.640,44.850,904.250,1104.390
22/06/2018 - 18:30,359,0.580,36.230,33.590,45.090,904.220,1104.360
22/06/2018 - 18:30,358,0.560,37.190,33.460,45.510,904.200,1104.330
22/06/2018 - 18:31,363,0.560,38.300,33.480,45.920,904.240,1104.370
22/06/2018 - 18:31,361,0.570,38.200,33.480,45.920,904.160,1104.290
