Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
25/06/2018 - 14:53,290,1.270,62.790,36.660,36.720,904.210,1104.340
25/06/2018 - 14:54,303,1.300,62.800,36.770,36.840,904.110,1104.220
25/06/2018 - 14:54,309,1.320,62.780,36.790,36.790,904.140,1104.250
25/06/2018 - 14:55,301,1.350,62.790,36.860,36.690,904.140,1104.250
25/06/2018 - 14:55,294,1.380,62.800,37.000,36.630,904.200,1104.330
25/06/2018 - 14:56,295,1.290,62.770,36.900,36.430,904.080,1104.190
25/06/2018 - 14:56,299,1.270,62.760,36.350,37.090,904.180,1104.300
25/06/2018 - 14:57,293,1.370,62.900,36.120,37.850,904.140,1104.250
25/06/2018 - 14:57,299,1.450,62.910,36.460,37.780,904.150,1104.260
25/06/2018 - 14:58,300,1.370,62.870,36.650,37.490,904.130,1104.240
25/06/2018 - 14:58,287,1.350,62.610,36.220,38.200,904.180,1104.310
25/06/2018 - 14:59,300,1.470,57.110,35.870,38.570,904.160,1104.290
25/06/2018 - 14:59,306,1.440,63.020,35.910,38.650,904.110,1104.220
25/06/2018 - 15:00,303,1.480,63.060,35.850,38.600,904.080,1104.190
25/06/2018 - 15:00,304,1.460,63.060,35.800,39.010,904.080,1104.190
25/06/2018 - 15:01,296,1.470,63.040,36.100,38.810,904.170,1104.300
25/06/2018 - 15:01,296,1.390,63.000,36.380,38.410,904.130,1104.250
25/06/2018 - 15:02,308,1.400,62.960,36.460,37.980,904.160,1104.280
25/06/2018 - 15:03,301,1.420,62.980,36.400,38.070,904.060,1104.160
25/06/2018 - 15:03,322,1.390,62.960,36.470,37.950,904.100,1104.210
25/06/2018 - 15:04,306,1.350,62.920,36.700,37.690,904.100,1104.210
25/06/2018 - 15:04,307,1.320,62.870,36.850,37.410,904.030,1104.120
25/06/2018 - 15:05,303,1.310,62.820,36.850,37.390,904.090,1104.190
25/06/2018 - 15:05,287,1.350,62.790,36.850,37.390,904.070,1104.170
25/06/2018 - 15:06,305,1.340,62.810,36.890,37.410,904.120,1104.240
25/06/2018 - 15:06,312,1.340,62.830,36.980,37.250,904.080,1104.180
25/06/2018 - 15:07,302,1.380,62.830,36.930,37.210,904.130,1104.250
25/06/2018 - 15:07,305,1.360,62.970,36.380,37.760,904.100,1104.200
25/06/2018 - 15:08,304,1.410,62.960,36.500,37.980,904.040,1104.140
25/06/2018 - 15:08,302,1.410,62.940,36.420,38.240,904.050,1104.150
25/06/2018 - 15:09,305,1.420,62.930,36.230,38.700,904.060,1104.160
25/06/2018 - 15:09,307,1.360,62.890,36.330,38.690,904.080,1104.190
25/06/2018 - 15:10,303,1.410,62.880,36.600,38.190,904.100,1104.210
25/06/2018 - 15:10,299,1.330,62.900,36.540,38.050,903.980,1104.060
25/06/2018 - 15:11,309,1.400,62.980,35.710,38.350,904.020,1104.110
25/06/2018 - 15:11,314,1.390,62.980,35.790,39.050,904.010,1104.100
25/06/2018 - 15:12,339,1.450,62.970,36.090,38.940,904.060,1104.160
25/06/2018 - 15:12,332,1.420,62.960,36.280,38.750,904.100,1104.210
25/06/2018 - 15:13,327,1.360,62.970,36.070,38.110,904.060,1104.160
25/06/2018 - 15:13,320,1.330,62.980,36.160,37.850,903.980,1104.060
25/06/2018 - 15:14,310,1.320,62.960,36.140,37.780,903.980,1104.060
25/06/2018 - 15:14,310,1.290,62.940,36.130,37.890,904.050,1104.140
25/06/2018 - 15:15,305,1.320,62.920,36.050,38.060,903.960,1104.040
25/06/2018 - 15:15,299,1.260,62.950,36.030,37.610,904.000,1104.090
25/06/2018 - 15:16,294,1.260,62.970,35.600,37.530,903.960,1104.040
25/06/2018 - 15:16,301,1.280,62.960,35.600,37.580,903.960,1104.040
25/06/2018 - 15:17,262,1.330,62.950,35.920,37.290,903.980,1104.070
25/06/2018 - 15:17,278,1.300,62.950,36.230,37.090,903.960,1104.040
25/06/2018 - 15:18,284,1.270,62.950,35.590,37.170,904.050,1104.150
25/06/2018 - 15:18,288,1.270,62.960,36.060,37.170,903.930,1104.000
25/06/2018 - 15:19,294,1.300,62.940,36.300,36.930,903.960,1104.030
25/06/2018 - 15:19,290,1.300,62.990,35.380,37.280,903.910,1103.970
25/06/2018 - 15:20,297,1.310,63.010,35.470,38.170,903.960,1104.040
25/06/2018 - 15:21,303,1.290,63.020,35.220,38.000,903.860,1103.920
25/06/2018 - 15:21,311,1.330,63.000,35.750,37.920,903.940,1104.010
25/06/2018 - 15:22,309,1.410,62.980,35.580,37.790,903.940,1104.020
25/06/2018 - 15:22,295,1.390,63.030,35.820,37.800,903.850,1103.910
25/06/2018 - 15:23,303,1.360,63.050,35.410,38.530,903.870,1103.930
25/06/2018 - 15:24,302,1.440,63.040,35.460,38.400,903.900,1103.970
25/06/2018 - 15:24,295,1.300,63.130,33.860,39.270,903.890,1103.950
25/06/2018 - 15:25,298,1.340,63.160,34.220,39.850,903.840,1103.890
25/06/2018 - 15:25,291,1.300,63.170,34.090,39.960,903.890,1103.960
25/06/2018 - 15:26,296,1.340,63.140,34.740,39.810,903.890,1103.960
25/06/2018 - 15:26,285,1.320,63.160,34.750,39.720,903.870,1103.920
25/06/2018 - 15:27,292,1.320,63.130,35.170,39.330,903.890,1103.950
25/06/2018 - 15:27,292,1.300,63.080,35.250,39.010,903.840,1103.890
25/06/2018 - 15:28,295,1.330,63.050,35.610,38.570,903.910,1103.970
25/06/2018 - 15:28,293,1.360,63.050,35.450,38.360,903.920,1103.980
25/06/2018 - 15:29,295,1.360,63.070,35.470,38.630,903.900,1103.970
25/06/2018 - 15:30,303,1.360,63.070,35.320,38.530,903.860,1103.920
25/06/2018 - 15:30,285,1.310,63.060,35.420,38.670,903.800,1103.840
25/06/2018 - 15:31,293,1.300,63.040,35.250,38.940,903.860,1103.920
25/06/2018 - 15:31,299,1.310,63.020,35.570,38.960,903.870,1103.930
25/06/2018 - 15:32,308,1.320,63.040,35.330,38.710,903.860,1103.910
25/06/2018 - 15:33,291,1.320,63.110,34.220,39.470,903.940,1104.010
25/06/2018 - 15:33,296,1.280,63.130,34.220,39.590,903.960,1104.040
25/06/2018 - 15:34,299,1.290,63.120,34.700,39.580,903.920,1103.990
25/06/2018 - 15:34,298,1.290,63.090,35.100,39.060,903.890,1103.960
25/06/2018 - 15:35,295,1.300,63.100,35.400,38.670,903.800,1103.840
25/06/2018 - 15:35,273,1.310,63.070,35.460,38.290,903.860,1103.920
25/06/2018 - 15:36,287,1.270,63.060,35.610,38.110,903.760,1103.790
25/06/2018 - 15:36,296,1.290,63.030,35.730,37.920,903.810,1103.850
25/06/2018 - 15:37,302,1.300,63.050,35.870,37.680,903.870,1103.930
25/06/2018 - 15:37,294,1.280,63.030,35.600,37.730,903.800,1103.840
25/06/2018 - 15:38,305,1.300,63.020,35.750,37.680,903.790,1103.830
25/06/2018 - 15:38,293,1.290,63.030,35.950,37.500,903.800,1103.840
25/06/2018 - 15:39,300,1.300,62.980,35.720,37.750,903.740,1103.760
25/06/2018 - 15:39,294,1.290,62.990,35.870,37.630,903.710,1103.730
25/06/2018 - 15:40,298,1.280,62.980,35.600,37.850,903.720,1103.740
25/06/2018 - 15:40,304,1.310,63.010,35.470,37.900,903.810,1103.860
25/06/2018 - 15:41,318,1.430,63.080,34.560,38.490,903.830,1103.880
25/06/2018 - 15:41,314,1.340,63.110,34.480,38.940,903.750,1103.780
25/06/2018 - 15:42,307,1.370,63.100,34.960,39.210,903.790,1103.830
25/06/2018 - 15:42,299,1.370,63.120,34.960,39.050,903.760,1103.800
25/06/2018 - 15:43,297,1.250,63.120,35.060,38.910,903.790,1103.830
25/06/2018 - 15:43,287,1.310,63.090,34.920,38.870,903.790,1103.830
25/06/2018 - 15:44,284,1.320,63.090,35.230,38.690,903.730,1103.750
25/06/2018 - 15:44,274,1.320,63.100,35.000,38.690,903.840,1103.890
25/06/2018 - 15:45,310,1.340,63.070,35.220,38.720,903.780,1103.810
25/06/2018 - 15:45,313,1.330,63.080,35.360,38.560,903.710,1103.730
25/06/2018 - 15:46,305,1.330,63.070,35.690,38.200,903.750,1103.780
25/06/2018 - 15:46,306,1.320,63.070,35.130,38.550,903.860,1103.920
25/06/2018 - 15:47,295,1.330,63.070,35.510,38.490,903.730,1103.750
25/06/2018 - 15:47,293,1.370,63.050,35.490,38.360,903.800,1103.840
25/06/2018 - 15:48,303,1.320,63.050,35.220,38.720,903.820,1103.870
25/06/2018 - 15:48,300,1.290,63.040,35.380,38.620,903.780,1103.820
25/06/2018 - 15:49,301,1.360,63.050,35.180,38.610,903.770,1103.810
25/06/2018 - 15:49,307,1.340,63.140,34.430,39.160,903.820,1103.870
25/06/2018 - 15:50,313,1.340,63.140,34.550,39.810,903.800,1103.840
25/06/2018 - 15:50,304,1.360,63.120,34.780,39.740,903.780,1103.820
25/06/2018 - 15:51,307,1.320,63.110,34.920,39.600,903.860,1103.920
25/06/2018 - 15:51,296,1.250,63.080,35.120,39.140,903.750,1103.780
25/06/2018 - 15:52,297,1.270,63.100,33.990,39.720,903.740,1103.770
25/06/2018 - 15:52,288,1.300,63.180,33.430,40.410,903.770,1103.810
25/06/2018 - 15:53,283,1.250,63.190,34.020,40.790,903.750,1103.780
25/06/2018 - 15:53,268,1.270,63.160,34.120,40.390,903.800,1103.850
25/06/2018 - 15:54,278,1.240,63.180,33.370,40.800,903.710,1103.730
25/06/2018 - 15:54,288,1.270,63.180,33.700,41.100,903.730,1103.750
25/06/2018 - 15:55,296,1.230,63.200,33.550,41.520,903.650,1103.660
25/06/2018 - 15:55,297,1.250,63.150,33.870,41.130,903.670,1103.680
25/06/2018 - 15:56,310,1.270,63.150,34.140,40.980,903.750,1103.780
25/06/2018 - 15:56,285,1.290,63.130,34.690,40.390,903.730,1103.750
25/06/2018 - 15:57,292,1.360,63.120,35.030,39.830,903.650,1103.660
25/06/2018 - 15:57,312,1.460,63.170,34.830,39.870,903.770,1103.800
25/06/2018 - 15:58,315,1.490,63.190,35.060,39.700,903.760,1103.790
25/06/2018 - 15:58,318,1.440,63.180,35.070,39.690,903.770,1103.810
25/06/2018 - 15:59,296,1.370,63.170,35.320,39.490,903.700,1103.720
25/06/2018 - 15:59,300,1.370,63.140,35.290,39.400,903.660,1103.670
25/06/2018 - 16:00,314,1.320,63.110,35.470,39.080,903.680,1103.690
25/06/2018 - 16:00,297,1.260,63.050,35.670,38.630,903.720,1103.750
25/06/2018 - 16:01,290,1.280,63.000,35.740,38.330,903.710,1103.740
25/06/2018 - 16:01,296,1.260,62.970,35.620,38.210,903.780,1103.820
25/06/2018 - 16:02,298,1.270,62.930,35.810,38.020,903.690,1103.710
25/06/2018 - 16:02,290,1.250,62.910,35.950,37.750,903.690,1103.710
25/06/2018 - 16:03,295,1.220,62.900,35.590,37.880,903.740,1103.770
25/06/2018 - 16:03,290,1.360,63.000,35.220,38.240,903.680,1103.690
25/06/2018 - 16:04,297,1.360,63.100,35.120,38.550,903.730,1103.750
25/06/2018 - 16:04,300,1.370,63.150,35.320,38.530,903.700,1103.730
25/06/2018 - 16:05,298,1.270,63.120,35.610,38.360,903.750,1103.780
25/06/2018 - 16:05,302,1.250,63.060,35.390,38.290,903.750,1103.780
25/06/2018 - 16:06,301,1.300,63.050,35.610,38.270,903.720,1103.740
25/06/2018 - 16:06,300,1.240,63.030,35.050,38.560,903.750,1103.780
25/06/2018 - 16:07,305,1.270,63.020,35.320,38.550,903.700,1103.730
25/06/2018 - 16:07,297,1.310,63.040,35.370,38.440,903.750,1103.780
25/06/2018 - 16:08,300,1.300,63.060,35.500,38.410,903.730,1103.750
25/06/2018 - 16:08,301,1.310,63.030,35.580,38.270,903.700,1103.720
25/06/2018 - 16:09,311,1.400,63.070,35.600,38.200,903.740,1103.770
25/06/2018 - 16:09,304,1.300,63.130,35.260,38.440,903.660,1103.670
25/06/2018 - 16:10,281,1.380,63.130,35.360,38.580,903.720,1103.740
25/06/2018 - 16:10,267,1.370,63.160,35.230,38.660,903.720,1103.740
25/06/2018 - 16:11,272,1.430,63.190,35.140,38.940,903.750,1103.780
25/06/2018 - 16:11,294,1.370,63.200,35.050,39.050,903.700,1103.720
25/06/2018 - 16:12,305,1.420,63.210,35.270,39.060,903.720,1103.740
25/06/2018 - 16:12,322,1.440,63.220,35.580,38.820,903.700,1103.720
25/06/2018 - 16:13,325,1.430,63.190,35.550,38.630,903.790,1103.830
25/06/2018 - 16:13,321,1.460,63.180,35.740,38.640,903.700,1103.720
25/06/2018 - 16:14,313,1.410,63.180,35.860,38.540,903.670,1103.690
25/06/2018 - 16:14,314,1.360,63.130,35.710,38.750,903.730,1103.750
25/06/2018 - 16:15,304,1.330,63.080,35.700,38.880,903.660,1103.670
25/06/2018 - 16:15,301,1.330,63.060,35.740,38.880,903.700,1103.710
25/06/2018 - 16:16,311,1.320,63.060,35.740,38.750,903.680,1103.690
25/06/2018 - 16:16,309,1.360,63.090,35.900,38.730,903.700,1103.710
25/06/2018 - 16:17,308,1.320,63.060,35.840,38.830,903.690,1103.710
25/06/2018 - 16:17,307,1.290,63.060,35.860,38.750,903.720,1103.740
25/06/2018 - 16:18,299,1.300,63.010,36.020,38.830,903.700,1103.720
25/06/2018 - 16:18,288,1.300,62.990,36.030,38.760,903.680,1103.700
25/06/2018 - 16:19,289,1.310,62.970,35.960,39.010,903.730,1103.750
25/06/2018 - 16:19,293,1.330,62.980,35.720,39.120,903.760,1103.800
25/06/2018 - 16:20,292,1.320,63.010,35.900,39.040,903.760,1103.790
25/06/2018 - 16:20,293,1.320,63.000,36.080,38.780,903.770,1103.810
25/06/2018 - 16:21,298,1.400,63.000,36.140,38.460,903.770,1103.810
25/06/2018 - 16:21,302,1.290,62.990,36.000,38.590,903.690,1103.710
25/06/2018 - 16:22,303,1.250,63.060,34.960,38.940,903.690,1103.700
25/06/2018 - 16:22,303,1.270,63.050,35.180,39.230,903.760,1103.800
25/06/2018 - 16:23,302,1.300,63.040,35.580,39.180,903.790,1103.830
25/06/2018 - 16:23,299,1.280,63.050,35.520,39.180,903.770,1103.810
25/06/2018 - 16:24,295,1.280,63.050,35.610,39.320,903.710,1103.740
25/06/2018 - 16:24,292,1.290,63.050,35.440,39.760,903.760,1103.800
25/06/2018 - 16:25,293,1.360,63.140,35.050,39.810,903.810,1103.850
25/06/2018 - 16:25,298,1.390,63.150,35.530,39.680,903.770,1103.800
25/06/2018 - 16:26,297,1.370,63.140,35.790,39.330,903.740,1103.760
25/06/2018 - 16:26,299,1.340,63.110,35.920,39.010,903.730,1103.750
25/06/2018 - 16:27,307,1.380,63.080,35.630,39.080,903.790,1103.830
25/06/2018 - 16:27,307,1.330,63.130,35.390,39.250,903.720,1103.750
25/06/2018 - 16:28,300,1.280,63.100,35.600,39.380,903.700,1103.720
25/06/2018 - 16:28,290,1.310,63.090,35.430,39.640,903.750,1103.780
25/06/2018 - 16:29,283,1.250,63.090,34.910,39.490,903.740,1103.770
25/06/2018 - 16:29,292,1.300,63.090,35.040,39.530,903.800,1103.840
25/06/2018 - 16:30,292,1.340,63.130,35.200,39.570,903.710,1103.740
25/06/2018 - 16:30,286,1.310,63.120,35.230,39.490,903.770,1103.800
25/06/2018 - 16:31,295,1.320,63.130,35.320,39.610,903.820,1103.870
25/06/2018 - 16:31,285,1.290,63.100,35.530,39.350,903.810,1103.860
25/06/2018 - 16:32,284,1.290,63.050,35.540,39.220,903.810,1103.850
25/06/2018 - 16:32,293,1.290,63.030,35.680,39.090,903.750,1103.780
25/06/2018 - 16:33,302,1.290,63.000,35.700,38.910,903.810,1103.850
25/06/2018 - 16:33,292,1.280,63.010,35.780,38.820,903.770,1103.810
25/06/2018 - 16:34,289,1.300,63.030,35.780,38.780,903.750,1103.780
25/06/2018 - 16:34,290,1.280,63.040,35.710,38.880,903.810,1103.850
25/06/2018 - 16:35,292,1.320,63.100,34.560,39.340,903.760,1103.790
25/06/2018 - 16:35,303,1.320,63.180,34.460,40.180,903.860,1103.910
25/06/2018 - 16:36,292,1.330,63.220,34.430,40.700,903.870,1103.930
25/06/2018 - 16:36,309,1.290,63.210,34.310,40.970,903.830,1103.880
25/06/2018 - 16:37,295,1.300,63.220,34.620,41.030,903.800,1103.840
25/06/2018 - 16:37,293,1.290,63.190,34.730,40.960,903.860,1103.920
25/06/2018 - 16:38,295,1.270,63.190,34.740,40.920,903.770,1103.800
25/06/2018 - 16:38,291,1.270,63.160,34.760,40.910,903.840,1103.900
25/06/2018 - 16:39,282,1.280,63.130,34.950,40.690,903.890,1103.950
25/06/2018 - 16:39,279,1.280,63.090,35.190,40.390,903.880,1103.940
25/06/2018 - 16:40,278,1.270,63.060,35.210,40.300,903.890,1103.950
25/06/2018 - 16:40,276,1.260,63.060,34.980,40.520,903.870,1103.920
25/06/2018 - 16:41,279,1.260,63.050,35.150,40.480,903.850,1103.900
25/06/2018 - 16:41,288,1.280,63.050,35.230,40.390,903.910,1103.980
25/06/2018 - 16:42,297,1.280,63.090,34.710,40.600,903.950,1104.020
25/06/2018 - 16:42,236,1.290,63.090,34.920,40.730,903.910,1103.970
25/06/2018 - 16:43,254,1.280,63.080,35.130,40.410,903.930,1104.000
25/06/2018 - 16:43,261,1.240,63.100,34.490,40.480,903.960,1104.030
25/06/2018 - 16:44,265,1.280,63.090,34.950,40.490,903.900,1103.960
25/06/2018 - 16:44,274,1.270,63.090,35.150,40.270,903.980,1104.070
25/06/2018 - 16:45,270,1.390,63.130,35.120,40.230,903.880,1103.940
25/06/2018 - 16:46,281,1.350,63.100,35.290,40.300,903.990,1104.080
25/06/2018 - 16:47,280,1.270,63.160,34.490,40.360,903.910,1103.970
25/06/2018 - 16:47,284,1.270,63.150,34.700,40.560,903.930,1104.010
25/06/2018 - 16:48,286,1.310,63.200,34.520,40.860,903.870,1103.930
25/06/2018 - 16:48,291,1.300,63.190,34.600,40.990,903.940,1104.010
25/06/2018 - 16:49,286,1.280,63.170,34.670,40.850,903.890,1103.950
25/06/2018 - 16:49,282,1.310,63.150,34.990,40.520,903.860,1103.920
25/06/2018 - 16:50,276,1.290,63.150,35.190,40.220,903.860,1103.910
25/06/2018 - 16:50,285,1.260,63.160,34.800,40.130,903.850,1103.900
25/06/2018 - 16:51,273,1.270,63.150,35.060,40.070,903.800,1103.850
25/06/2018 - 16:51,270,1.280,63.130,35.000,40.210,903.930,1104.000
25/06/2018 - 16:52,271,1.270,63.120,34.890,40.390,903.940,1104.020
25/06/2018 - 16:52,275,1.280,63.140,35.110,40.230,903.930,1104.000
25/06/2018 - 16:53,290,1.290,63.110,35.210,40.080,903.950,1104.030
25/06/2018 - 16:54,299,1.290,63.110,35.090,40.070,903.910,1103.980
25/06/2018 - 16:54,295,1.300,63.110,35.230,39.830,903.920,1103.990
25/06/2018 - 16:55,298,1.300,63.110,35.190,39.850,903.970,1104.060
25/06/2018 - 16:55,294,1.290,63.100,35.380,39.640,903.920,1103.990
25/06/2018 - 16:56,301,1.370,63.100,35.490,39.460,903.940,1104.020
25/06/2018 - 16:56,300,1.460,63.070,35.620,39.340,903.960,1104.040
25/06/2018 - 16:57,286,1.420,63.060,35.530,39.320,904.000,1104.080
25/06/2018 - 16:57,286,1.330,63.050,35.630,39.320,903.930,1104.000
25/06/2018 - 16:58,293,1.330,63.040,35.560,39.350,903.930,1104.010
25/06/2018 - 16:58,292,1.320,63.020,35.400,39.270,903.980,1104.070
25/06/2018 - 16:59,302,1.310,63.010,35.420,39.420,903.960,1104.040
25/06/2018 - 16:59,299,1.330,63.000,35.530,39.510,904.010,1104.100
25/06/2018 - 17:00,301,1.320,62.990,35.650,39.340,903.990,1104.080
25/06/2018 - 17:00,292,1.300,62.970,35.720,39.270,903.990,1104.080
25/06/2018 - 17:01,289,1.310,62.970,35.660,39.340,904.020,1104.110
25/06/2018 - 17:01,288,1.320,62.940,35.820,39.230,904.010,1104.100
25/06/2018 - 17:02,295,1.350,62.930,35.860,39.260,904.000,1104.090
25/06/2018 - 17:02,290,1.450,62.980,35.860,39.230,904.010,1104.100
25/06/2018 - 17:03,311,1.470,63.050,35.820,39.120,904.060,1104.160
25/06/2018 - 17:03,300,1.430,63.070,35.900,39.050,904.070,1104.170
25/06/2018 - 17:04,308,1.410,63.070,35.920,38.970,904.080,1104.190
25/06/2018 - 17:04,300,1.420,63.060,35.970,38.870,904.080,1104.190
25/06/2018 - 17:05,298,1.360,63.050,35.860,38.910,904.070,1104.170
25/06/2018 - 17:05,302,1.520,63.070,35.620,39.140,904.110,1104.220
25/06/2018 - 17:06,294,1.470,63.100,35.540,39.370,904.090,1104.200
25/06/2018 - 17:06,303,1.430,63.090,35.770,39.330,904.100,1104.210
25/06/2018 - 17:07,315,1.480,63.070,35.890,39.140,904.110,1104.220
25/06/2018 - 17:07,313,1.520,63.070,35.820,39.120,904.110,1104.220
25/06/2018 - 17:08,305,1.520,63.050,35.750,39.230,904.130,1104.250
25/06/2018 - 17:08,288,1.510,63.030,35.900,39.170,904.150,1104.270
25/06/2018 - 17:09,271,1.380,63.040,35.520,39.420,904.160,1104.280
25/06/2018 - 17:09,285,1.450,63.030,35.660,39.620,904.140,1104.260
25/06/2018 - 17:10,295,1.400,63.030,35.810,39.460,904.140,1104.260
25/06/2018 - 17:10,252,1.340,63.010,35.850,39.120,904.080,1104.190
25/06/2018 - 17:11,256,1.510,63.050,34.850,39.390,904.110,1104.220
25/06/2018 - 17:11,317,1.410,63.100,35.160,39.640,904.120,1104.230
25/06/2018 - 17:12,315,1.410,63.100,35.410,39.420,904.070,1104.180
25/06/2018 - 17:12,311,1.370,63.070,35.600,39.100,904.090,1104.200
25/06/2018 - 17:13,304,1.360,63.070,35.350,39.060,904.140,1104.260
25/06/2018 - 17:13,300,1.320,63.060,35.190,39.160,904.170,1104.300
25/06/2018 - 17:14,304,1.340,63.040,35.390,39.220,904.130,1104.250
25/06/2018 - 17:14,303,1.360,63.070,35.560,39.070,904.170,1104.300
25/06/2018 - 17:15,306,1.390,63.100,35.660,38.930,904.170,1104.290
25/06/2018 - 17:15,302,1.350,63.100,35.790,38.780,904.160,1104.280
25/06/2018 - 17:16,296,1.320,63.060,35.660,38.790,904.160,1104.280
25/06/2018 - 17:16,288,1.330,63.070,35.490,39.180,904.170,1104.300
25/06/2018 - 17:17,291,1.300,63.070,34.980,39.240,904.260,1104.400
25/06/2018 - 17:17,300,1.250,63.100,34.280,39.170,904.090,1104.190
25/06/2018 - 17:18,290,1.330,63.110,34.640,39.510,904.110,1104.220
25/06/2018 - 17:18,290,1.310,63.100,35.010,39.430,904.120,1104.240
25/06/2018 - 17:19,281,1.310,63.080,35.270,39.160,904.010,1104.100
25/06/2018 - 17:19,289,1.330,63.060,35.410,39.010,904.070,1104.170
25/06/2018 - 17:20,291,1.320,63.050,35.540,38.770,904.020,1104.110
25/06/2018 - 17:20,299,1.340,63.020,35.700,38.380,904.120,1104.230
25/06/2018 - 17:21,300,1.330,63.000,35.740,38.200,904.050,1104.140
25/06/2018 - 17:21,303,1.300,62.990,35.700,38.080,904.090,1104.200
25/06/2018 - 17:22,303,1.420,63.100,35.130,38.630,904.030,1104.120
25/06/2018 - 17:22,305,1.470,63.140,35.220,38.830,904.080,1104.180
25/06/2018 - 17:23,308,1.440,63.160,35.270,38.950,904.000,1104.090
25/06/2018 - 17:23,311,1.400,63.130,35.430,38.810,904.000,1104.090
25/06/2018 - 17:24,315,1.370,63.120,35.490,38.560,904.020,1104.110
25/06/2018 - 17:24,302,1.320,63.060,35.460,38.240,904.060,1104.160
25/06/2018 - 17:25,307,1.380,63.090,35.500,38.120,904.040,1104.130
25/06/2018 - 17:25,313,1.410,63.100,35.620,38.040,903.970,1104.050
25/06/2018 - 17:26,307,1.410,63.110,35.770,37.850,904.050,1104.140
25/06/2018 - 17:26,313,1.380,63.100,35.820,37.720,904.030,1104.120
25/06/2018 - 17:27,308,1.340,63.100,35.860,37.580,904.030,1104.120
25/06/2018 - 17:27,312,1.420,63.080,35.860,37.370,904.090,1104.200
25/06/2018 - 17:28,311,1.320,63.090,35.920,37.190,904.040,1104.140
25/06/2018 - 17:28,329,1.310,63.060,35.950,36.980,904.070,1104.170
25/06/2018 - 17:29,323,1.300,63.030,35.870,36.890,904.070,1104.170
25/06/2018 - 17:29,319,1.280,63.010,35.900,36.960,904.110,1104.220
25/06/2018 - 17:30,293,1.280,63.020,35.800,37.000,904.060,1104.160
25/06/2018 - 17:30,301,1.320,63.020,35.830,37.030,904.070,1104.170
25/06/2018 - 17:31,314,1.390,63.030,35.920,37.010,904.080,1104.180
25/06/2018 - 17:31,310,1.390,63.020,35.850,36.960,904.110,1104.220
25/06/2018 - 17:32,289,1.360,63.000,35.940,37.030,904.090,1104.190
25/06/2018 - 17:32,307,1.410,63.040,35.620,37.250,904.150,1104.280
25/06/2018 - 17:33,320,1.270,63.060,35.520,37.270,904.100,1104.210
25/06/2018 - 17:33,327,1.340,63.050,35.500,37.400,904.110,1104.220
25/06/2018 - 17:34,313,1.330,63.050,35.520,37.420,904.090,1104.200
25/06/2018 - 17:35,309,1.330,63.050,35.510,37.540,904.130,1104.250
25/06/2018 - 17:35,300,1.340,63.040,35.680,37.460,904.100,1104.210
25/06/2018 - 17:36,300,1.340,63.030,35.780,37.330,904.080,1104.180
25/06/2018 - 17:36,307,1.310,63.030,35.710,37.420,904.120,1104.240
25/06/2018 - 17:37,302,1.290,63.010,35.620,37.390,904.130,1104.250
25/06/2018 - 17:37,301,1.300,63.030,35.380,37.590,904.100,1104.210
25/06/2018 - 17:38,295,1.340,63.030,35.480,37.850,904.130,1104.240
25/06/2018 - 17:38,301,1.340,63.030,35.580,37.800,904.120,1104.240
25/06/2018 - 17:39,301,1.330,63.040,35.680,37.620,904.060,1104.170
25/06/2018 - 17:39,308,1.310,63.030,35.570,37.530,904.170,1104.300
25/06/2018 - 17:40,301,1.290,63.020,35.480,37.540,904.190,1104.320
25/06/2018 - 17:40,295,1.280,63.010,35.460,37.680,904.120,1104.230
25/06/2018 - 17:41,242,1.280,63.020,35.420,37.710,904.060,1104.160
25/06/2018 - 17:41,271,1.290,63.000,35.530,37.680,904.100,1104.210
25/06/2018 - 17:42,278,1.260,62.980,35.590,37.590,904.120,1104.240
25/06/2018 - 17:42,288,1.350,63.080,35.140,37.910,904.090,1104.200
25/06/2018 - 17:43,299,1.430,63.120,35.340,38.000,904.110,1104.220
25/06/2018 - 17:43,291,1.370,63.130,35.400,37.950,904.160,1104.280
25/06/2018 - 17:44,298,1.280,63.110,35.370,38.030,904.240,1104.370
25/06/2018 - 17:44,301,1.340,63.120,34.720,38.620,904.170,1104.290
25/06/2018 - 17:45,301,1.330,63.170,34.740,38.750,904.140,1104.260
25/06/2018 - 17:45,307,1.350,63.180,35.000,38.780,904.130,1104.240
25/06/2018 - 17:46,303,1.290,63.180,34.560,38.920,904.240,1104.380
25/06/2018 - 17:46,292,1.310,63.160,34.860,39.030,904.250,1104.390
25/06/2018 - 17:47,292,1.320,63.150,34.920,38.980,904.260,1104.400
25/06/2018 - 17:47,301,1.300,63.160,35.090,38.820,904.170,1104.290
25/06/2018 - 17:48,298,1.330,63.130,35.060,38.760,904.210,1104.350
25/06/2018 - 17:48,298,1.250,63.120,34.430,38.900,904.210,1104.340
25/06/2018 - 17:49,297,1.300,63.140,34.410,39.360,904.170,1104.290
25/06/2018 - 17:49,309,1.270,63.120,34.640,39.460,904.170,1104.290
1530256003,1564,1.610,62.230,34.950,42.760,905.890,1106.400
1530256034,1623,1.610,62.250,34.860,42.320,905.840,1106.330
1530256064,1609,1.610,62.270,34.770,41.950,905.810,1106.300
1530256093,1628,1.610,62.270,34.720,42.360,905.810,1106.300
